"Date","Air Temperature"
"02/13/2018",41.5959910072872
"02/14/2015",52.5640075940628
"02/14/2016",50.1113689223058
"02/14/2017",45.6186988527091
"02/14/2018",41.8155894486811
"02/15/2015",47.938389261745
"02/15/2016",51.1282157951938
"02/15/2017",48.9034503470368
"02/15/2018",42.5463817079693
"02/16/2015",48.8709739594013
"02/16/2016",53.060445365595
"02/16/2017",50.2569346314325
"02/16/2018",43.6482668303663
"02/17/2015",51.0803803240516
"02/17/2016",51.7869340101523
"02/17/2017",48.1451581508516
"02/17/2018",44.6202720624086
"02/18/2015",49.4059287787453
"02/18/2016",48.8292188807677
"02/18/2017",45.2123901251739
"02/18/2018",40.0410329457364
"02/19/2015",50.1154579589647
"02/19/2016",46.4684681177696
"02/19/2017",44.9281140472879
"02/19/2018",37.9161814634146
